# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777680000
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
85.44144,0.35783,5.95325
87.37744,0.03783,5.58325
90.25744,0.03783,4.88325
93.84144,0.54783,4.09325
95.07344,0.78783,3.53325
96.56144,1.78783,2.94325
97.34544,3.43783,1.66325
95.45744,4.96783,-0.64675
92.30544,6.43783,0.49325
86.88144,7.36783,0.31325
84.91344,-0.08217,4.89325
88.36944,-4.99217,9.01325
93.93744,-3.98217,7.81325
99.60144,-1.74217,5.54325
102.20944,-0.10217,4.30325
103.31344,0.47783,3.56325
106.41744,2.16783,2.26325
108.86544,3.56783,1.63325
110.64144,3.96783,1.64325
110.97744,3.62783,2.14325
112.92944,3.83783,2.15325
114.32144,4.18783,5.67325
116.57744,4.11783,6.25325
118.70544,3.54783,5.59325
120.27345,3.47783,4.74325
123.16944,4.13783,3.49325
124.67344,4.02783,2.38325
125.69744,3.86783,2.26325
127.02544,4.06783,2.27325
129.93744,4.85783,1.59325
130.17744,4.58783,1.67325
131.00945,4.53783,1.37325
132.46544,5.02783,0.92325
133.88943,5.29783,0.21325
134.43344,5.18783,0.20325
134.97745,4.34783,0.57325
136.08144,4.50783,0.69325
136.99344,5.42783,0.15325
138.08144,7.01783,0.23325
137.79344,6.24783,0.59325
137.05743,5.41783,0.60325
84.57744,0.79783,6.07325
85.90544,0.43783,5.88325
88.81744,0.70783,5.37325
91.84144,1.08783,4.75325
93.84144,1.62783,3.61325
95.47344,1.62783,2.35325
96.38544,2.79783,0.52325
96.28944,4.80783,-0.68675
93.10544,6.66783,-1.76675
87.98544,7.55783,-3.26675
86.46544,-3.01217,2.47325
88.67344,-6.30217,7.48325
91.52144,-3.93217,6.89325
95.64944,-2.08217,5.53325
98.17744,-0.30217,4.78325
100.56144,0.66783,3.09325
103.61744,2.66783,2.01325
105.56944,3.99783,1.64325
107.61744,5.06783,1.25325
107.77744,5.51783,2.13325
109.05744,4.62783,3.67325
111.21744,4.38783,5.22325
113.50544,4.58783,6.29325
115.64944,3.74783,5.86325
117.90544,3.76783,4.91325
121.10544,3.88783,3.80325
122.09744,4.47783,3.03325
123.61744,4.92783,2.15325
125.04144,4.90783,1.72325
126.24144,5.14783,1.48325
128.40144,5.57783,1.27325
128.30544,5.14783,1.35325
129.61745,5.07783,1.07325
